sku,fabric_name,construction,composition,gsm_and_width,finish,price,properties,image_file,px,pdf_page
SU-BN-201,BANANA 100% 65s,Powerloom,FIBER 100% Banana (CLOSED LOOP VISCOSE),"75 GSM, Width-44""/56"", Plain weave",RFD,₹450/mtr,"Breathable; Moisture Wicking; Soft touch; Good Fall; Summer, Casual wear; EPFC",SU-BN-201.jpg,591x770,12
SU-BN-202,BANANA STRIPE 65s,Powerloom,FIBER 100% Banana (CLOSED LOOP VISCOSE),"98 GSM, Width- 44""/58"", Plain weave",RFD,₹450/mtr,"Breathable; Moisture Wicking; Soft touch; Good Fall; Summer, Casual wear; EPFC",SU-BN-202.jpg,591x770,13
SU-BB-101,BEMBERG SATIN 101,Powerloom,100% Bemberg,"79 GSM, Widht- 44"", Satin weave",RFD,₹350/mtr,"Breathable; Vegan silk; Soft touch; Lustre; Good Fall; Lightweight,Flowy; Summer, Festive wear",SU-BB-101.jpg,591x771,14
SU-BB-102,BEMBERG SATIN 102,Powerloom,100% Bemberg Satin fabric heavy,"85 GSM, Width-55"", Satin weave",RFD,₹430/mtr,"Breathable; Vegan silk; Soft touch; Lusture; Good Fall; Summer, Festive wear",SU-BB-102.jpg,591x770,15
SU-BB-103,BEMBERG,Powerloom,40% Bemberg 60% Modal,"125 GSM, Width-44"",",RFD,₹340/mtr,"Breathable; Vegan silk; Soft touch; Soft sheen; Good Fall; Summer, Festive wear, Dresses,; Resort wear",SU-BB-103.jpg,591x771,16
SU-BB-104,BEMBERG,Powerloom,100% Bemberg Crushed Satin,"75 GSM, Width-42"", Satin weave",Greige,₹365/mtr,"Breathable; Good Drape; Soft touch; Soft sheen; Good Fall; Summer, Festive wear, Evening wear",SU-BB-104.jpg,591x770,17
SU-EU-101,EUCALYPTUS,Powerloom,FIBER 100% Eucalyptus (CLOSED LOOP VISCOSE),"114 GSM, Width-44"", Plain weave","RFD""",₹620/mtr,Breathable; Vegan; Soft touch; Anti Bacterial; Summer; Lusture; Moisture Wicking; Slub Textured,SU-EU-101.jpg,591x771,18
SU-HF-101,HEMP HANDLOOM,Handloom,100% Hemp,"573 GSM, Width-30"", Plain weave",Greige,₹700/mtr,"Durable; Sustainable Jute alternative; Slub Textured; Winter, Upholstery, Accessories; Anti Bacterial",SU-HF-101.jpg,591x770,19
SU-HF-102,HEMP KHADI,Handloom,50% Hemp 50% Cotton,"260 GSM, Width- 44"", Plain weave",Greige,₹690/mtr,"Breathable; Durable; Textured; Structured; Summer; Winter, Outerwear, Upholstery; Anti Bacterial",SU-HF-102.jpg,591x770,20
SU-HF-201,HEMP WOVEN 201,Powerloom,50% Hemp 50% Bamboo,"120-125 GSM, Width- 58"", Plain weave",RFD/White,₹650/mtr,"Breathable; Durable; Soft touch, Bamboo Finish; Good Fall; Summer, Casual wear; Anti Bacterial",SU-HF-201.jpg,591x770,21
SU-HF-202,HEMP WOVEN 202,Powerloom,100% Hemp,"122 GSM, Width-58"", Plain weave",RFD/White,₹950/mtr,"Durable; Good with Natural dyes; Softer with each wash; Good Fall; Summer, Casual wear, Occasion wear ,; Dresses; Anti Bacterial",SU-HF-202.jpg,591x771,22
SU-HF-203,HEMP WOVEN 203,Powerloom,100% Hemp,"121 GSM, Width-58"", Plain weave",RFD/White,₹930/mtr,"Durable; Good with Natural dyes; Softer with each wash; Good Fall; Summer, Shirts, Trousers, Kurtas; Anti Bacterial",SU-HF-203.jpg,591x770,23
SU-HF-204,HEMP WOVEN 204,Powerloom,55% Hemp 45% Cotton,"132 GSM, Width-58"", Plain weave",RFD/White,₹585/mtr,"Durable; Good with Natural dyes; Softer with each wash; Summer, Jackets, Suiting, Trousers; Anti Bacterial",SU-HF-204.jpg,591x771,24
SU-HF-205,HEMP TWILL,Powerloom,100% Hemp,"180 GSM, Width- 58"", Twill weave",RFD/White,₹1250/mtr,"Durable; Good with Natural dyes; Softer with each wash; Summer, Jackets, Suiting, Trousers; Anti Bacterial",SU-HF-205.jpg,591x770,25
SU-HF-206,HEMP HERRINGBONE,Powerloom,100% Hemp,"182 GSM, Width- 58"", Herringbone",RFD/White,₹1250/mtr,"Durable; Good with Natural dyes; Softer with each wash; Summer, Trousers, Summer blazers; Anti Bacterial",SU-HF-206.jpg,591x770,26
SU-HF-207,HEMP COTTON TWILL,Powerloom,50% Hemp 50% Cotton,"189 GSM, Width-58"", Twill weave",RFD/White,₹800/mtr,"Durable; Good with Natural dyes; Softer with each wash; Economical; Summer, Jackets, Suiting, Trousers; Anti Bacterial",SU-HF-207.jpg,591x770,27
SU-HF-208,HEMP COTTON HERRINGBONE,Powerloom,50% Hemp 50% Cotton,"187  GSM, Width- 58"", Herringbone.",RFD,₹800/mtr,"Durable; Good with Natural dyes; Softer with each wash; Economical; Summer, Jackets, Suiting, Trousers; Anti Bacterial",SU-HF-208.jpg,591x772,28
SU-HF-209,HEMP MESH,Powerloom,100% Hemp Mesh,"87 GSM, Width-58"", Plain weave",RFD,₹560/mtr,"Breathable; Durable; Good with Natural dyes; Lightweight; Summer, Scarves, Curtains, Good for; adding details in garments; Anti Bacterial",SU-HF-209.jpg,591x771,29
SU-HF-210,HEMP BLEND 210,Powerloom,70% Hemp 30% Cotton,"264 GSM, Width-58"", Plain weave",Greige,₹830/mtr,"Durable, Cotton canvas alternative; Anti-Bacterial; Breathable; Summer/Winter, Transitional; Upholstery, Suiting, Footweaer",SU-HF-210.jpg,591x771,30
SU-HF-211,HEMP BLEND 211,Powerloom,70% Cottton 30% Hemp,"110 GSM, Width-58"", Plain weave",RFD,₹390/mtr,"Breathable; Durable; Economical; Good with Natural dyes; Lightweight; Softer with each wash; Summer,; Anti Bacterial",SU-HF-211.jpg,591x770,31
SU-HF-301,HEMP 301,Knitted,55% Hemp 45% Cotton,"182 GSM, Width-53""",RFD,₹1550/Kg,"Breathable; Durable; Good stretch; Summer; Winter; Lounge wear, T-shirts, Dresses; Anti Bacterial",SU-HF-301.jpg,591x771,32
SU-HF-302,HEMP 302,Knitted,30% Hemp 67% Cotton 3% Elastin,"242 GSM, Width-70""",RFD,₹1600/Kg,"Breathable; Durable; Good stretch; Summer; Winter; Athleisure, Lounge wear; Anti Bacterial",SU-HF-302.jpg,591x770,33
SU-KC-101,KALA COTTON 101,Handloom,100% Kala cotton,"161 GSM, Width-44"", Plain weave",Greige,₹280/mtr,"Breathable; Durable; Moisture absorbency; Good with Natural dyes; Not genetically Modified; Summer,Casual wear, Occasion wear",SU-KC-101.jpg,591x771,34
SU-KC-102,KALA COTTON 102 44s,Handloom,100% Kala Cotton,"111 GSM, Width-44"", Plain weave",Greige,₹300/mtr,"Breathable; Good fall; Moisture absorbency; Good with Natural dyes; Not genetically Modified; Summer, Casual wear",SU-KC-102.jpg,591x771,35
SU-KC-103,KALA COTTON DENIM,Handloom,100% Kala Cotton,"245 GSM, Width-44"", 2*2 Twill weave",Greige,₹500/mtr,"Durable; Moisture absorbency; Good with Natural dyes; Not genetically Modified; Mild Winter, Jackets, Trousers",SU-KC-103.jpg,591x771,36
SU-KB-101,KALA BAMBOO 101,Handloom,50% Kala Cotton 50% Bamboo,"116 GSM, Width-44"", Plain weave",Greige,₹450/mtr,Breathable; Durable; Good with Natural dyes; Softer after every wash; Moisture absorbency; Summer; Winter,SU-KB-101.jpg,591x770,37
SU-KB-102,KALA BAMBOO 102,Handloom,50% Kala Cotton 50% Bamboo,"170 GSM, Width-44"", Twill weave",Greige,₹430/mtr,Durable; Good with Natural dyes; Softer after every wash; Moisture absorbency; Summer; Winter,SU-KB-102.jpg,591x771,38
SU-KD-101,KHADI SILK 101 80s,Handloom,60% Mulberry Silk 40% Handloom Cotton,"74 GSM, Width-44"", Plain weave",Greige,₹600/mtr,"Breathable; Durable; Lightweight; Soft on skin; Moisture absorbency; Summer, Casual wear, Occasion wear",SU-KD-101.jpg,591x770,39
SU-KD-102,KHADI (10 COUNT) 102,Handloom,100% Handloom Cotton,"200 GSM, Width-44"", Plain weave",Greige,₹450/mtr,"Breathable; Moisture Absorbency; Durable; Structured; Summer, Light Jackets, Co-ord sets",SU-KD-102.jpg,591x770,40
SU-KD-103,KHADI (10 COUNT) 103,Handloom,100% Handloom Cotton,"329 GSM, Width-44"", Plain weave",RFD,₹500/mtr,"Breathable; Moisture Absorbency; Durable; Structured; Winter, Heavy Jackets, Coats, Upholstery",SU-KD-103.jpg,591x771,41
SU-KD-104,104 KHADI 33s,Handloom,100% Handloom organic cotton,"146 GSM, Width-44"", Plain weave",Greige,₹275/mtr,"Breathable; Moisture Absorbency; Durable; Structured; Summer, Shirts, Summer dresses,; Lightweight layering peices",SU-KD-104.jpg,591x770,42
SU-KD-105,KHADI 100s 105,Handloom,100% Khadi,"66 GSM, Width-44"", Plain weave",Greige,₹350/mtr,"Breathable; Moisture Absorbency; Durable; Structured; Summer, Casual wear, soft overlays",SU-KD-105.jpg,591x771,43
SU-KD-107,KHADI Twill 107,Handloom,100% Khadi,"400 GSM, Width-44"", Twill weave",Greige,₹570/mtr,"Breathable; Moisture Absorbency; Durable; Structured; Winter, Jackets, Coats, Bags",SU-KD-107.jpg,591x770,44
SU-LI-101,LINEN 101,Powerloom,100% Linen,"200 GSM, Width-58"",26 Lea, Plain weave",RFD,₹695/mtr,"Breathable; Durable; Lightweight; Moisture wicking; Summer, Home wear",SU-LI-101.jpg,591x770,45
SU-LI-103,LINEN 103,Powerloom,100% Linen,"123 GSM, Width-58"", 40 Lea, Plain weave",RFD,₹700/mtr,"Breathable; Lightweight; Softer with each wash; Moisture absorbency; Good with natural dyes; Summer, Casual wear",SU-LI-103.jpg,591x770,46
SU-LI-104,LINEN 104,Powerloom,100% Linen,"115 GSM, Width-58"", 40 Lea, Plain weave",RFD,₹720/mtr,"Breathable; Lightweight; Moisture absorbency; Good with Natural dyes; Softer with each wash; Summer, Home Furnishing, Casual wear",SU-LI-104.jpg,591x770,47
SU-LI-105,LINEN 105,Powerloom,50% Linen 50% Cotton,"125-130 GSM, Width-58"", Plain weave",RFD,₹465/mtr,"Breathable; Lightweight; Moisture absorbency; Good with Natural dyes; Softer with each wash; Summer, Home Furnishing, Casual wear",SU-LI-105.jpg,591x771,48
SU-LO-101,LOTUS,Powerloom,FIBER 100% Lotus (CLOSED LOOP VISCOSE),"112 GSM, Width-55"", Twill weave",RFD,₹750/mtr,"Breathable; Vegan silk; Lightweight; Good drape; Moisture absorbency; Summer, Casual wear, Occasion wear; EPFC",SU-LO-101.jpg,591x771,49
SU-ML-101,MILK,Powerloom,FIBER 100% Milk (CLOSED LOOP VISCOSE),"71 GSM, Width-55"", Plain weave",RFD,₹585/mtr,"Breathable; Soft touch; Good Drape; Lightweight; Anti-Bacterial; Moisture Wicking; Summer, Lounge wear, Casual wear; EPFC",SU-ML-101.jpg,671x804,50
SU-NE-101,NETTLE,Handloom,50% Nettle 50% Organic Cotton,"354 GSM, Width-44"", Plain weave",RFD/Greige,₹900/mtr,"Durable; Textured; Anti-Bacterial; Moisture Absorbency; Winter, Jackets, Bags, Aprons; Heavy co-ords, Structured trousers",SU-NE-101.jpg,591x771,51
SU-CD-101,ORGANIC COTTON CORDUROY,Powerloom,100% Cotton,"284 GSM, Width-58"", Plain weave",Greige,₹415/mtr,"Softer after every wash; Durable; Textured; Moisture absorbency; Winter, Jackets, Trousers, Overshirts,; Structured skirts, Bags",SU-CD-101.jpg,591x770,52
SU-GZ-101,ORGANIC COTTON DOUBLE GAUZE,Powerloom,100% Organic Cotton,"143 GSM, Width-44"", Plain weave",Greige/RFD,₹265/mtr,"Breathable; Soft on skin; Lightweight; Crinkle Texture; Moisture absorbency; Summer, Casual wear, Lounge wear",SU-GZ-101.jpg,591x771,53
SU-OC-101,ORGANIC COTTON 44s,Handloom,100% Organic Cotton,"100 GSM, Width-44"", Plain weave",Greige,₹315/mtr,"Breathable; Good with Natural dyes; Lightweight; Transluscent; Moisture absorbency; Summer, Casual wear",SU-OC-101.jpg,591x770,54
SU-OC-201,ORGANIC COTTON WOVEN,Powerloom,100% Organic Cotton,"116 GSM, Width-58"", Plain weave",RFD,₹260/mtr,"60/80S; Breathable; Soft touch; Lightweight; Moisture absorbency; Summer, Casual wear",SU-OC-201.jpg,591x771,55
SU-OC-202,ORGANIC COTTON CANVAS,Powerloom,100% Organic Cotton,"283 GSM, Width-58"", Plain weave",Greige,₹360/mtr,"Breathable; Structured; Durable; Moisture absorbency; Winter, Bags, Tuxedos, Jackets",SU-OC-202.jpg,591x771,56
SU-OC-203,ORGANIC COTTON TWILL,Powerloom,100% Organic cotton,"295 GSM, Width-58"", Twill weave",Greige,₹380/mtr,"Breathable; Durable; Moisture absorbency; Summer; Winter; Denims, Outerwear",SU-OC-203.jpg,591x771,57
SU-OC-301,ORGANIC COTTON 301 30s,Knitted,100% Organic Cotton,"277 GSM, Width-60""",RFD,₹1100/Kg,"Breathable; Soft touch; Good stretch; Moisture absorbency; Winter, Sweatshirts, Lounge wear",SU-OC-301.jpg,543x723,58
SU-OC-302,ORGANIC COTTON TERRY,Knitted,100% Organic Cotton,"292 GSM, Width-60""",RFD,₹1100/Kg,"Breathable; Soft touch; Good stretch; Moisture absorbency; Winter, Elevated casuals, Cardigans,; Sweatshirts, Joggers",SU-OC-302.jpg,591x770,59
SU-OC-303,ORGANIC COTTON RIB,Knitted,100% Organic Cotton,"220 GSM, Width-60""",RFD,₹1100/Kg,"Breathable; Soft touch; Good stretch; Hypoallergenic; Moisture absorbency; Winter, Kids wear, Active wear",SU-OC-303.jpg,592x771,60
SU-RC-101,RECYCLED COTTON 101,Powerloom,100% Recycled Cotton,"70 GSM, Width-44"", Plain weave",RFD,₹115/mtr,"Breathable; Lightweight; Soft touch; Regenerated cotton; Moisture Absorbency; Summer, Casual wear",SU-RC-101.jpg,591x771,61
SU-RC-102,RECYCLED COTTON 102,Powerloom,100% Recycled Cotton,"79 GSM, Width-44"", Plain weave",RFD,₹115/mtr,"Breathable; Lightweight; Soft touch; Regenerated cotton; Moisture Absorbency; Summer, Casual wear",SU-RC-102.jpg,591x771,62
SU-OR-101,ORANGE,Powerloom,FIBER 100% Orange peel (CLOSED LOOP VISCOSE),"148 GSM, Width-48"", Plain weave",RFD,₹585/mtr,"Breathable; Anti-wrinkle; Soft touch, Smooth; Good drape; Good Fall; Lusture; Summer, Dresses, Sarees, Fluid Trousers; EPFC",SU-OR-101.jpg,591x771,63
SU-OR-102,ORANGE CREPE,Powerloom,FIBER 100% Orange peel (CLOSED LOOP VISCOSE),"81 GSM, Width-48"", Sateen weave",RFD,₹585/mtr,"Breathable; Anti-wrinkle; Soft touch, Smooth; Good drape; Good Fall; Lusture; Lightweight; Summer, Dresses, Sarees, Fluid Trousers; EPFC",SU-OR-102.jpg,591x771,64
SU-RO-101,ROSE,Powerloom,FIBER 100% Rose (CLOSED LOOP VISCOSE),"80 GSM, Width-55"", Plain weave",RFD,₹685/mtr,"Breathable; Soft touch, Smooth; Good drape; Good Fall; Lightweight; Summer, Dresses, Scarves, Kimonos; EPFC",SU-RO-101.jpg,591x770,65
SU-SO-101,SOY,Powerloom,FIBER 100% Soya (CLOSED LOOP VISCOSE),"80-90 GSM, Width-55"", Plain weave",RFD,₹450/mtr,"Breathable; Vegetable Cashmere; Soft Touch; Lightweight; Good drape; UV resistant; Anti-Bacterial; Summer, Dresses, Skirts, Scarves; EPFC",SU-SO-101.jpg,591x771,66
SU-SK-101,ERI GHEECHA SILK 10S,Handloom,70% Eri 30% Tussar,"110GSM, Width-44', Plain weave",RFD,₹675/mtr,"Breathable; Ahimsa silk; Natural Lusture; Textured; Summer; Winter; Scarves, Sarees, Dresses",SU-SK-101.jpg,591x771,67
SU-SK-102,ERI SILK 2/140 count,Handloom,100% Eri,"75 GSM, Width-44"", Plain weave",Greige,₹800/mtr,"Breathable; Ahimsa silk; Natural Lusture; Lightweight; Summer, Scarves, Sarees, Dresses",SU-SK-102.jpg,591x771,68
SU-SK-103,MUGA SILK 72s,Handloom,20% Tussar 80% Muga,"60 GSM, Width-44"", Plain weave",Greige,₹650/mtr,"Breathable; Soft touch; Natural Golden Lusture; Good Drape; Summer, Scarves, Sarees, Kurtas, Dresses",SU-SK-103.jpg,591x771,69
SU-SK-104,TUSSAR SILK,Handloom,100% Tussar Silk,"30 GSM, Width-44"", Plain weave",Greige,₹645/mtr,"Breathable; Good Drape; Lightweight; Natural Lusture; Textured; Sheer; Summer, Scarves, Blouses, Dresses",SU-SK-104.jpg,591x770,70
SU-SK-105,PAPER MULBERRY,Handloom,100% Paper Mulberry silk,"42 GSM, Width-44', Plain weave",Greige,₹800/mtr,"Breathable; Semi-Sheer; Natural Lustre; Summer, Scarves, Kimonos, Dresses,; Sheer Overlays, Kaftans",SU-SK-105.jpg,591x770,71
SU-SK-107,AHIMSA MULBERRY,Handloom,100% Ahimsa Mulberrry Silk,"84 GSM, Width-44"", Satin weave",Greige,₹1550/Kg,"Breathable; Ahimsa silk; Natural Lustre; Good Drape; Summer, Ocassion wear, Evening wear",SU-SK-107.jpg,591x770,72
SU-WO-101,PASHMINA,Handloom,100% Pahmina,"100 GSM, Width-44"", Twill weave",Natural,₹4000/mtr,"Made to order (MOQ-30 M); Breathable yet insulating; Soft touch; Good drape; Warm; Winter, Scarves, Stoles, Ponchos,; Winter dresses, Shawls",SU-WO-101.jpg,591x771,73
SU-WO-102,MERINO TWILL 120 count,Handloom,100% Merino Wool,"113 GSM, Width-42"", Twill weave",Greige,₹850/mtr,"Breathable; Soft touch; Good drape; Warm; Winter, Scarves, Stoles, Ponchos,; Winter dresses, Shawls",SU-WO-102.jpg,591x771,74
SU-WO-103,MERINO HERRINGBONE,Handloom,100% Merino Wool,"170 GSM, Width-42"", Herringbone weave",Greige,₹850/mtr,"Breathable yet insulating; Soft touch; Warm; Winter, Dresses, Jackets, Shackets",SU-WO-103.jpg,591x771,75
SU-WO-104,MERINO DIAMOND MP 120 count,Handloom,100% Merino Wool,"240 GSM, Width-42"", Diamond weave",Greige,₹850/mtr,"Breathable yet insulating; Soft touch; Warm; Winter, Structured Dresses, Jackets,; Flared pants, Scarves, Stoles",SU-WO-104.jpg,591x770,76
SU-WO-105,MERINO WOOL MESH,Handloom,100% Merino Wool mesh,"97 GSM, Width-70"", Plain weave",Greige,₹850/mtr,"Breathable; Soft touch; Lightweight; Winter, Highly versatile in application",SU-WO-105.jpg,675x843,77
SU-WO-106,HIMALAYAN SHEEP WOOL,Handloom,70% Sheep wool 30% Cotton,"300 GSM, Width-30"", Twill weave",Greige,₹750/mtr,"Breathable yet insulating; Durable; Very Warm; Winter, Heavy Outerwear",SU-WO-106.jpg,591x771,78
